11	98
12	30
13	29
14	19
15	71
16	64
17	66
18	64
19	57
20	78
21	34
22	73
23	61
24	32
25	64
26	63
27	71
28	65
29	11
30	27
31	38
32	40
33	40
34	46
35	45
36	92
37	68
38	77
39	92
40	70
41	82
42	77
43	86
44	87
45	95
46	100
47	89
48	89
49	71
50	82
51	89
52	70
53	90
54	71
55	81
56	72
57	75
58	93
59	88
60	86
61	70
62	93
63	131
64	78
65	88
66	96
67	89
68	87
69	88
70	105
71	100
72	117
73	93
74	92
75	111
76	113
78	92
79	89
80	96
81	97
82	68
83	124
84	100
85	92
86	103
87	105
88	114
89	108
90	109
91	91
92	88
93	100
94	126
95	95
96	105
97	105
98	99
99	147
100	123
101	115
102	120
103	98
104	121
105	112
106	129
107	105
108	115
109	117
110	127
111	140
112	129
113	119
114	131
115	121
116	147
117	119
118	130
119	130
120	109
121	147
122	129
123	134
124	136


