0.0005	18.24	0.000027412
0.0005	18.56	0.00002694
0.0005	19.24	0.000025988
0.0005	18.05	0.000027701
0.0005	17.23	0.000029019
0.0005	15.35	0.000032573
0.0005	16.70	0.000029940
0.0005	17.99	0.000027793
0.0005	15.35	0.000032573
0.0005	17.25	0.000028986
0.0005	18.38	0.000027203
0.0005	18.32	0.000027293
0.0005	16.56	0.000030193
0.0005	18.70	0.000026738
0.0005	16.56	0.000030193
0.001	33.63	0.000029735
0.0005	17.3	0.000028902
0.0005	19.06	0.000026233
0.0005	18.33	0.000027278
0.0005	16.21	0.000030845
0.0005	15.36	0.000032552
0.0005	15.7	0.000031847
0.0005	17.1	0.00002924
0.0005	17.3	0.000028902
