*Frequency 	SA1-abs	SA1-phase
1	0.00628306128574498	1.56451322416916
1.14815362149688	0.00721387425270564	1.56358238997241
1.31825673855641	0.00828256726030158	1.56251366483305
1.51356124843621	0.00950955578610937	1.56128662767548
1.73780082874938	0.0109182737991852	1.55987783605853
1.99526231496888	0.0125356178110519	1.55826038064922
2.29086765276777	0.0143924550984778	1.55640337476794
2.63026799189538	0.0165242047768919	1.55427136993838
3.01995172040202	0.0189715012650804	1.5518236873151
3.46736850452532	0.0217809504549836	1.54901365378942
3.98107170553497	0.0250059894621697	1.54578773056033
4.57088189614875	0.028707860987037	1.54208452112252
5.24807460249773	0.032956712757415	1.53783364515864
6.02559586074358	0.0378328307771474	1.53295446503238
6.91830970918936	0.0434280114521439	1.52735465292934
7.94328234724281	0.0498470710206158	1.52092858990263
9.1201083935591	0.057209479463825	1.51355559422754
10.471285480509	0.0656510878487537	1.50509798716276
12.0226443461741	0.075325889435495	1.49539902181127
13.8038426460288	0.0864077110436582	1.48428072866638
15.8489319246111	0.0990916655107324	1.47154177439437
18.1970085860998	0.113595099970532	1.45695549494064
20.8929613085404	0.130157637706866	1.44026835856356
23.9883291901949	0.149039722604235	1.42119924892589
27.5422870333817	0.170518827065893	1.39944014309922
31.6227766016838	0.194882180421499	1.37465900079764
36.3078054770101	0.22241454597325	1.34650597412805
41.6869383470335	0.253379304679888	1.31462435970619
47.8630092322638	0.287991065876187	1.27866796465856
54.9540873857625	0.326378522200589	1.23832658062508
63.0957344480193	0.36853773199708	1.19336078361577
72.443596007499	0.414278915505741	1.14364593678059
83.176377110267	0.463174380618772	1.08922272434029
95.4992586021435	0.514520684172464	1.03034775460825
109.647819614319	0.567332421984878	0.967533461372834
125.892541179417	0.620384445679773	0.901563540410692
144.543977074593	0.672310241671718	0.833471132870161
165.958690743756	0.72174658292302	0.764473926553476
190.546071796325	0.76749467961774	0.695872490026455
218.776162394955	0.808656944746461	0.628930825764876
251.188643150958	0.844714473432586	0.564764862458042
288.40315031266	0.875531500827043	0.504261555279831
331.131121482591	0.901297818168366	0.448040199693207
380.189396320561	0.92243589504773	0.396454473249404
436.515832240166	0.939501437527228	0.349624404298505
501.187233627272	0.953098001801437	0.307484266131225
575.439937337156	0.963815120215615	0.269834151140404
660.693448007596	0.972190440691348	0.236387051571502
758.577575029183	0.978691455856754	0.206807411843972
870.96358995608	0.983710908733138	0.180740182503203
1000	0.987570492151392	0.157831190288159
1148.15362149688	0.990528778396568	0.13774040911939
1318.25673855641	0.992790685584867	0.120149852069345
1513.56124843621	0.994516891093097	0.10476761898202
1737.80082874938	0.995832374540604	0.091329332979951
1995.26231496888	0.996833760019034	0.0795978924229327
2290.86765276777	0.997595406801939	0.0693622014435445
2630.26799189538	0.99817434088888	0.0604353354738843
3019.95172040202	0.99861418021847	0.0526524450071314
3467.36850452532	0.998948220567579	0.0458685918135584
3981.07170553497	0.999201839795403	0.0399566365906868
4570.88189614874	0.999394358553468	0.0348052464436423
5248.07460249773	0.999540473213187	0.0303170574189256
6025.59586074357	0.999651355274207	0.0264070061360306
6918.30970918935	0.999735492537124	0.0230008314805293
7943.28234724282	0.999799331350267	0.0200337396114652
9120.10839355909	0.999847766200294	0.0174492213227131
10471.285480509	0.999884512486957	0.0151980088173366
12022.6443461741	0.99991239009852	0.0132371583626655
13803.8426460288	0.999933538984866	0.0115292455368836
15848.9319246112	0.999949582950903	0.010041660495039
18197.0085860998	0.999961754058883	0.00874599164318231
20892.9613085404	0.999970987084904	0.00761748716942983
23988.3291901949	0.999977991221988	0.00663458495215477
27542.2870333816	0.999983304501482	0.00577850239679501
31622.7766016838	0.999987335092648	0.00503287871596669
36307.8054770101	0.99999039264123	0.00438346304948965
41686.9383470335	0.999992712047726	0.00381784261750125
47863.0092322638	0.999994471508247	0.00332520581243448
54954.0873857625	0.999995806201736	0.00289613576872452
63095.7344480193	0.999996818673851	0.0025224305087296
72443.5960074989	0.999997586714544	0.00219694625619766
83176.377110267	0.999998169334171	0.0019134609414536
95499.2586021434	0.999998611297034	0.00166655530184714
109647.819614319	0.999998946560542	0.00145150931298299
125892.541179417	0.999999200884146	0.00126421197643655
144543.977074593	0.999999393808458	0.00110108274307985
165958.690743756	0.999999540156589	0.00095900307231711
190546.071796325	0.999999651173042	0.000835256820462418
218776.162394955	0.999999735387659	0.000727478319728135
251188.643150958	0.999999799270993	0.000633607155950267
288403.15031266	0.999999847731465	0.000551848780996879
331131.12148259	0.999999884492498	0.000480640207189151
380189.396320561	0.999999912378595	0.000418620128113153
436515.832240166	0.999999933532365	0.000364602894751123
501187.233627273	0.999999949579142	0.000317555849517982
575439.937337156	0.999999961751867	0.00027657958495222
660693.448007596	0.999999970985823	0.000240890749701465
758577.575029182	0.999999977990496	0.000209807073126953
870963.58995608	0.999999983304084	0.000182734322256145
1000000	0.999999987334852	0.000159154941748081
 
