*Input voltage 	VM1
0	5.99999999915968
0.1	5.99999999909638
0.2	5.99999999584794
0.3	5.99999984125531
0.4	5.99999253735709
0.5	5.99967241053742
0.6	5.99239316331636
0.7	5.95709134260563
0.8	5.89502780071355
0.9	5.81730318585441
1	5.73012421430966
1.1	5.63679307404466
1.2	5.53925344250238
1.3	5.43875213673872
1.4	5.3361413277007
1.5	5.23203139485433
1.6	5.12687517194056
1.7	5.02101776753509
1.8	4.9147277431273
1.9	4.80821754764533
2	4.70165743245834
2.1	4.59518523508559
2.2	4.48891344705839
2.3	4.38293443947565
2.4	4.27732440431111
2.5	4.17214637908207
2.6	4.06745260348738
2.7	3.96328638019346
2.8	3.85968356146781
2.9	3.75667374942164
3	3.65428127406839
3.1	3.55252590926671
3.2	3.45142389170794
3.3	3.35098794195304
3.4	3.25122808692204
3.5	3.15215196266746
3.6	3.05376514680803
3.7	2.95607144157258
3.8	2.85907311580202
3.9	2.76277111262644
4	2.6671652283335
4.1	2.57225426687216
4.2	2.47803617373637
4.3	2.38450815224808
4.4	2.29166676481325
4.5	2.19950802128643
4.6	2.10802745623045
4.7	2.01722019655719
4.8	1.92708102091474
4.9	1.83760441180989
5	1.74878460146648
5.1	1.66061561221753
5.2	1.57309129207407
5.3	1.486205346094
5.4	1.39995136407981
5.5	1.31432284500934
5.6	1.22931321859638
5.7	1.14491586433854
5.79999999999999	1.06112412833258
5.89999999999999	0.97793133809452
5.99999999999999	0.895330816397846
6.09999999999999	0.813315895424063
6.19999999999999	0.731879957090094
6.29999999999999	0.651016694960239
6.39999999999999	0.57072245933493
6.49999999999999	0.491021320033984
6.59999999999999	0.412298005462719
6.69999999999999	0.339489324954726
6.79999999999999	0.291720785696062
6.89999999999999	0.267736131458149
6.99999999999999	0.253732298585815
7.09999999999999	0.244177044721612
7.19999999999999	0.237014208553765
7.29999999999999	0.231318830931589
7.39999999999999	0.226607279330857
7.49999999999999	0.222597962085863
7.59999999999999	0.219113587869275
7.69999999999999	0.216035740890178
7.79999999999999	0.21328118218979
7.89999999999999	0.210790808279985
7.99999999999999	0.208519080964708
8.09999999999999	0.206431583108213
8.19999999999999	0.204501364762458
8.29999999999999	0.202706941244615
8.39999999999999	0.201030916799921
8.49999999999999	0.199459014086465
8.59999999999999	0.197979374369942
8.69999999999998	0.196582042885014
8.79999999999998	0.195258583697728
8.89999999999998	0.194001786945616
8.99999999999998	0.192805443154
9.09999999999998	0.191664167039879
9.19999999999998	0.190573258360549
9.29999999999998	0.189528590858383
9.39999999999998	0.188526522774377
9.49999999999998	0.187563824101503
9.59999999999998	0.186637616963927
9.69999999999998	0.185745326384529
9.79999999999998	0.18488463934566
9.89999999999998	0.184053470525074
9.99999999999998	0.183249933444195
 
