*Input voltage 	VM1
0	5.99999999159776
0.05	5.99999999153811
0.1	5.9999999909647
0.15	5.99999998687055
0.2	5.99999995848032
0.25	5.99999976261182
0.3	5.99999841255389
0.35	5.99998911775985
0.4	5.9999253736526
0.45	5.99949436906146
0.5	5.99672426317112
0.55	5.98156708996571
0.6	5.92401691050308
0.65	5.78940676772036
0.7	5.57361577042186
0.75	5.29337308904183
0.8	4.96631282578575
0.85	4.60572958513225
0.9	4.22107523386613
0.95	3.81911616221596
1	3.40480524798196
1.05	2.9818534866222
1.1	2.55309940102191
1.15	2.12075186468538
1.2	1.68655388872448
1.25	1.25189612617147
1.3	0.817897576078425
1.35	0.385677406024781
1.4	0.174558192471741
1.45	0.14647173287704
1.5	0.132846243879955
1.55	0.123884754520032
1.6	0.117230812172168
1.65	0.111952534598588
1.7	0.107587108756159
1.75	0.103871264155157
1.8	0.100641051970894
1.85	0.0977875031949865
1.9	0.0952345377902411
1.95	0.0929269510745544
2	0.0908234236885775
2.05	0.0888922297022213
2.1	0.0871084830871852
2.15	0.0854523053747439
2.2	0.0839075680174358
2.25	0.082460963264997
2.3	0.0811015447271773
2.35	0.0798199717611902
2.4	0.078608359621115
2.45	0.077459956697078
2.5	0.0763689375942939
2.55	0.0753302413461266
2.6	0.0743394434508677
2.65	0.0733926535912374
2.7	0.0724864330927401
2.75	0.0716177277216125
2.8	0.0707838125255798
2.85	0.0699822462185326
2.9	0.0692108331945176
2.95	0.0684675916901848
3	0.0677507269392337
3.05	0.067058608408649
3.1	0.0663897503942351
3.15	0.0657427953978504
3.2	0.065116499821304
3.25	0.06450972160023
3.3	0.0639214094706493
3.35	0.0633505936163191
3.4	0.0627963774891125
3.45	0.0622579306303619
3.5	0.0617344823496417
3.55	0.0612253161410605
3.6	0.0607297647361858
3.64999999999999	0.0602472057085031
3.69999999999999	0.0597770575572175
3.74999999999999	0.0593187762090617
3.79999999999999	0.0588718518857282
3.84999999999999	0.0584358062919535
3.89999999999999	0.0580101900857643
3.94999999999999	0.0575945805975538
3.99999999999999	0.0571885797691457
4.04999999999999	0.0567918122879907
4.09999999999999	0.0564039238946401
4.14999999999999	0.0560245798445829
4.19999999999999	0.0556534635079161
4.24999999999999	0.0552902750921932
4.29999999999999	0.0549347304757601
4.34999999999999	0.0545865601402807
4.39999999999999	0.0542455081925004
4.44999999999999	0.0539113314664607
4.49999999999999	0.0535837986983482
4.54999999999999	0.0532626897670488
4.59999999999999	0.0529477949942142
4.64999999999999	0.052638914498366
4.69999999999999	0.0523358575980881
4.74999999999999	0.0520384422598823
4.79999999999999	0.0517464945867714
4.84999999999999	0.0514598483441034
4.89999999999999	0.0511783445193012
4.94999999999999	0.0509018309127354
4.99999999999999	0.0506301617571136
 
