*	OSC1_Ch1	OSC1_Ch2
-0.00196446976076459	0.699656022991422	0.14419822744733
-0.00193237821956416	0.989720480944578	0.390444288719692
-0.00189965016924987	1.27516616799399	0.653246330314863
-0.00187017399025535	1.52080478429008	0.885504132954447
-0.00182017399025369	1.9066133246077	1.2559410147663
-0.00177017399025203	2.24547471718665	1.58457906778373
-0.00172017399026458	2.52904506992514	1.8610750743871
-0.00167017399026292	2.75034193962272	2.0775322489079
-0.00162017399026126	2.90391626290523	2.22803001852046
-0.0015701739902596	2.98598653024949	2.3085384175761
-0.00152017399025794	2.9945318992979	2.31692359126122
-0.00147017399025628	2.92934195470402	2.25296406106464
-0.00142017399025462	2.79202188925677	2.11835257873308
-0.00137017399025297	2.58595297870664	1.91668237799649
-0.00132017399025131	2.31620932353488	1.65343461958937
-0.00127017399026386	1.98943290775967	1.33602983660156
-0.0012201739902622	1.61367005124615	0.974154659203182
-0.00117017399026054	1.1981732826071	0.581350034416685
-0.00112017399025888	0.753173511241123	0.186344897332636
-0.00108734590855875	0.45021416566485	0.0102826605726023
-0.00106444235861147	0.235817038921185	0.0001154839698293
-0.00105555232859444	0.152208626840107	-1.76212185915015E-6
-0.00104434481995952	0.0466438442752008	-1.70683143867964E-5
-0.00102956321330794	-0.092652901187492	-1.7373137211632E-5
-0.000999999999990564	-0.370347186470405	-1.57388685891879E-5
-0.000950000000003115	-0.831501249375357	-1.36029553871042E-5
-0.000900000000001455	-1.27218099192626	-1.19480006610662E-5
-0.000849999999999795	-1.6815354163293	-1.03918009495274E-5
-0.000799999999998136	-2.04948485808623	-8.84058328498583E-6
-0.000749999999996476	-2.36696918078681	-7.27624901308843E-6
-0.000699999999994816	-2.62617086673609	-5.69053097443373E-6
-0.000649999999993156	-2.82070751018494	-4.08279962638147E-6
-0.000599999999991496	-2.94578897334153	-2.45729108439008E-6
-0.000549999999989836	-2.99833533546138	-8.21092702718573E-7
-0.000500000000002387	-2.97705273071772	8.17327199253981E-7
-0.000450000000000728	-2.88246520747225	2.44933467552499E-6
-0.000399999999999068	-2.71690182446527	4.06733935864878E-6
-0.000349999999997408	-2.48443930165977	5.66626923959035E-6
-0.000299999999995748	-2.19080163786611	7.24572963983761E-6
-0.000249999999994088	-1.84321916689442	8.81367365490604E-6
-0.000199999999992428	-1.4502505227401	1.03935069681871E-5
-0.000149999999990769	-1.02157189761038	1.20397938876415E-5
-0.00010000000000332	-0.567738781958763	1.38792125793374E-5
-5.00000000016598E-5	-0.0999260532783274	1.62923458710551E-5
0	0.370347186469357	0.00206233127197958
3.61072142483487E-5	0.704942779323819	0.148262649101904
6.79319174413662E-5	0.992479336230687	0.392924462743637
0.000101089205199745	1.28147032658572	0.659154440444688
0.000130882251856201	1.52937731821646	0.89367277584815
0.000180882251856196	1.91428865046575	1.26335737929444
0.00023088225185619	2.2520638429808	1.59099058372802
0.000280882251856185	2.53438574951029	1.86629261260376
0.000330882251856179	2.75430266774277	2.08141092896681
0.000380882251856174	2.90639951328897	2.2304652108036
0.000430882251856168	2.98693115703104	2.30946537411281
0.000480882251856163	2.99391464263086	2.31631782039971
0.000530882251856157	2.92717801349608	2.25084155474508
0.000580882251856152	2.7883645469222	2.11476966307517
0.000630882251856146	2.58089229115172	1.91173532200673
0.000680882251856141	2.30986990168268	1.64725970694494
0.000730882251856135	1.98197084921552	1.32880613888848
0.00078088225185613	1.60526909665657	0.966117894527908
0.000830882251856124	1.18904029135525	0.572863422512995
0.000880882251856119	0.743533367882283	0.178575367279395
0.000913309280697605	0.444108133913135	0.0091695244625416
0.000936224423959575	0.229551693344673	0.000102977792486025
0.000945416923722853	0.143084712382658	-4.68362127178934E-6
0.000956451649156087	0.0391380689068274	-1.72342972238476E-5
0.000970884592881527	-0.0968712686785904	-1.73564685017613E-5
0.000999750480332351	-0.368013393573572	-1.57580676133917E-5
0.00104975048033235	-0.829241460919141	-1.36136826458522E-5
0.00109975048033234	-1.27005085140226	-1.19558179694224E-5
0.00114975048033233	-1.67958737486675	-1.03995356426356E-5
0.00119975048033233	-2.04776688293111	-8.84834618330999E-6
0.00124975048033232	-2.36552357418908	-7.28410556183334E-6
0.00129975048033232	-2.62503322432788	-5.6985008751731E-6
0.00134975048033231	-2.81990584449795	-4.09087195851754E-6
0.00139975048033231	-2.94534302404556	-2.46543623338979E-6
0.0014497504803323	-2.99825608330811	-8.29270796920412E-7
0.0014997504803323	-2.97734212715819	8.09159799608494E-7
0.00154975048033229	-2.88311612660564	2.44121953052456E-6
0.00159975048033228	-2.71789823850224	4.05930951474787E-6
0.00164975048033228	-2.48575667557983	5.658340626713E-6
0.00169975048033227	-2.19240753355122	7.2378875124457E-6
0.00174975048033227	-1.84507404186316	8.80584811668861E-6
0.00179975048033226	-1.45230870381476	1.03855228792415E-5
0.00184975048033226	-1.0237827055422	1.20312529687805E-5
0.00189975048033225	-0.570047779319194	1.38691587137085E-5
0.00194975048033225	-0.102276384889244	1.62755173546969E-5
0.00199975048033224	0.368013393572525	0.00196120163937874
0.00203590564588607	0.703096093720387	0.146839972945018
0.00206782180755744	0.991499950320631	0.392043833219787
0.00210089462316176	1.2798119227778	0.657599899536509
0.00213059079777966	1.52701353507667	0.891420008793995
0.00218059079777966	1.91217286216725	1.26131282958033
0.00223059079777965	2.25024814725339	1.58922376046293
0.00228059079777965	2.53291485480873	1.86485559910473
