*Input resistance 	AM1	AM2
1	0.00404451338563801	0.277950141008051
1000.99	0.00206116797510189	0.172238382937988
2000.98	0.00138560942527716	0.126906291254879
3000.97	0.0010444228319038	0.10087701459473
4000.96	0.000838437775736779	0.0837691418098378
5000.95	0.000700516100164164	0.0715946665170124
6000.94	0.000601676918154554	0.0624609516645158
7000.93	0.000527354745279154	0.0553440779341168
8000.92	0.00046942547279373	0.0496379178106041
9000.91	0.000422999095001436	0.044959180431313
10000.9	0.00038495558557295	0.0410529042360528
11000.89	0.000353210285479265	0.0377425477283637
12000.88	0.000326317193959314	0.0349018139016906
13000.87	0.000303241716785875	0.0324378685867206
14000.86	0.000283224022886928	0.0302808950584792
15000.85	0.000265693481382257	0.0283773482233212
16000.84	0.00025021320467617	0.0266854592334855
17000.83	0.000236443021711958	0.0251721577284627
18000.82	0.000224114109521683	0.0238109144802303
19000.81	0.000213011213389264	0.0225801975878062
20000.8	0.000202959932611866	0.0214623472863931
21000.79	0.000193817464160317	0.0204427423260514
22000.78	0.000185465754453985	0.0195091732155746
23000.77	0.000177806358081938	0.0186513649287825
24000.76	0.000170756529752865	0.0178606076244696
25000.75	0.000164246210646741	0.0171294712179639
26000.74	0.000158215687847777	0.0164515779779544
27000.73	0.000152613751515291	0.0158214231094913
28000.72	0.000147396232893776	0.0152342306096926
29000.71	0.000142524834003744	0.0146858367715002
30000.7	0.000137966183295592	0.0141725953357357
31000.69	0.000133691067945038	0.0136912997363234
32000.68	0.00012967380540155	0.0132391189479462
33000.67	0.000125891725581113	0.0128135442381554
34000.66	0.000122324741621127	0.0124123447204401
35000.65	0.000118954992012898	0.012033530056943
36000.64	0.000115766540635663	0.01167531900421
37000.63	0.000112745124047862	0.01133611276137
38000.62	0.000109877937570668	0.0110144722872194
39000.61	0.000107153453388733	0.0107090989132352
40000.6	0.000104561265212582	0.0104188177077944
41000.59	0.000102091955084401	0.010142563146613
42000.58	9.97369787294874E-5	0.00987936672540801
43000.57	9.74885665085858E-5	0.00962834621442621
44000.56	9.53396375489305E-5	0.00938869630705952
45000.55	9.32837250523462E-5	0.00915968045586979
46000.54	9.13149111188462E-5	0.00894062372423399
47000.53	8.94277697006378E-5	0.00873090650926578
48000.52	8.76173165271959E-5	0.00852995901477627
49000.51	8.58789650272364E-5	0.00833725637188731
50000.5	8.42084874259782E-5	0.00815231432066721
51000.49	8.26019803222928E-5	0.00797468537888157
52000.48	8.10558341550926E-5	0.00780395543529355
53000.47	7.9566706055721E-5	0.00763974071347384
54000.46	7.81314956561347E-5	0.00748168506021507
55000.45	7.67473234840714E-5	0.00732945751865444
56000.44	7.54115116280422E-5	0.00718275015213621
57000.43	7.41215663986913E-5	0.00704127608890559
58000.42	7.287516275006E-5	0.00690476776215121
59000.41	7.1670130255794E-5	0.00677297532298482
60000.4	7.05044404621552E-5	0.0066456652068636
61000.39	6.93761954626574E-5	0.00652261883655392
62000.38	6.82836175588196E-5	0.00640363144657563
63000.37	6.72250398884328E-5	0.00628851101626982
64000.36	6.61988979173296E-5	0.00617707729983685
65000.3499999999	6.52037217032192E-5	0.00606916094332988
66000.3399999999	6.42381288510567E-5	0.0059646026795992
67000.33	6.33008180888722E-5	0.00586325259336995
68000.32	6.23905634012307E-5	0.00576496944933247
69000.31	6.15062086646279E-5	0.00566962007719685
70000.3	6.06466627354323E-5	0.00557707880801228
71000.29	5.98108949464443E-5	0.00548722695696657
72000.28	5.89979309729412E-5	0.00539995234820978
73000.27	5.8206849033325E-5	0.00531514887778961
74000.26	5.74367763931861E-5	0.00523271611117782
75000.25	5.66868861448801E-5	0.00515255891227984
76000.24	5.59563942376161E-5	0.00507458710106778
77000.23	5.52445567356005E-5	0.00499871513731343
78000.22	5.45506672840691E-5	0.00492486182811103
79000.21	5.38740547650391E-5	0.00485295005717568
80000.2	5.32140811264159E-5	0.00478290653401903
81000.19	5.25701393696713E-5	0.00471466156135136
82000.18	5.19416516827505E-5	0.00464814881915565
83000.17	5.13280677061121E-5	0.004583305164088
84000.1600000001	5.07288629209633E-5	0.00452007044295755
85000.1500000001	5.01435371497564E-5	0.0044583873190982
86000.1400000001	4.95716131599232E-5	0.00439820111068201
87000.1300000001	4.9012635362653E-5	0.00433945963998639
88000.1200000001	4.84661685992499E-5	0.00428211309275017
89000.1100000001	4.79317970082608E-5	0.00422611388688665
90000.1000000001	4.74091229671813E-5	0.0041714165497817
91000.0900000001	4.68977661030653E-5	0.0041179776035758
92000.0800000001	4.6397362366859E-5	0.00406575545782673
93000.0700000001	4.59075631667264E-5	0.00401471030898115
94000.0600000001	4.54280345560244E-5	0.00396480404616728
95000.0500000001	4.49584564719435E-5	0.00391600016288063
96000.0400000001	4.449852202117E-5	0.00386826367409654
97000.0300000001	4.4047936809211E-5	0.00382156103844178
98000.0200000001	4.36064183103001E-5	0.00377586008509656
99000.0100000001	4.31736952750518E-5	0.0037311299450371
100000	4.27495071732449E-5	0.00368734098638424
 
