*	OSC1_Ch1	OSC1_Ch2
-0.00820442145965217	-5	-1.56374452187101
-0.00770442145966399	-5	-0.903335709501258
-0.00720442145967581	-5	-0.512399579033506
-0.00670442145968764	-5	-0.286565651658192
-0.00620442145969946	-5	-0.158465756899816
-0.00570442145965444	-5	-0.0868243439852669
-0.00520442145966626	-5	-0.0472079047603131
-0.00470442145967809	-5	-0.0255018187639964
-0.00420442145963307	-5	-0.0136998425739181
-0.00370442145964489	-5	-0.00732438788291923
-0.00320442145965671	-5	-0.00389942723943903
-0.00270442145966854	-5	-0.00206833026871012
-0.00220442145968036	-5	-0.00109347345885036
-0.00170442145963534	-5	-0.000576390891672496
-0.00120442145964716	-5	-0.000303022526960017
-0.000704421459658988	-5	-0.000158924804043004
-0.000204421459613968	-5	-8.31691723028882E-5
-5.26000576428487E-8	-3.975009123941	0.88476161041736
-5.24000256518775E-8	-2.97499127763223	1.88477907977031
0	5	9.85926034261061
5.1200004236307E-8	5	9.85875557789661
1.53599998498066E-7	5	9.85774610620465
3.5840000123244E-7	5	9.85572745706115
7.68000006701186E-7	5	9.85169138607131
1.58720000342782E-6	5	9.84362419111703
3.2255999968811E-6	5	9.8275096001163
6.50239999799851E-6	5	9.79535946697489
1.30560000002333E-5	5	9.73137404071383
2.6163200004703E-5	5	9.60465164567486
5.23775999994314E-5	5	9.35611476864893
0.000104806400003099	5	8.87800730538078
0.000209663999996224	5	7.99266625415899
0.000419379199996683	5	6.47024782338332
0.000586680734329548	5	5.46380884327829
0.000792823298141343	5	4.43382571151433
0.0010239193114927	5	3.50469977342966
0.00135718413319807	5	2.4862757957234
0.00179557878993819	5	1.56374350597332
0.00229557878994058	5	0.903335103309545
0.00279557878994297	5	0.512399226816214
0.00329557878994535	5	0.286565450988828
0.00379557878994774	5	0.158465644284775
0.00429557878995013	5	0.0868242815375679
0.00479557878995251	5	0.0472078704663748
0.0052955787899549	5	0.0255018000819831
0.00579557878995729	5	0.0136998324653899
0.00629557878995968	5	0.00732438244489408
0.00679557878996206	5	0.00389942432854617
0.00729557878996445	5	0.00206832871732265
0.00779557878996684	5	0.001093472635187
0.00829557878996923	5	0.00057639045585578
0.00879557878997161	5	0.000303022297059474
0.009295578789974	5	0.000158924683095307
0.00979557878997639	5	8.31691088309938E-5
0.00999994739996168	3.97503470243865	-0.884739653894342
0.00999994759996525	2.97501685612989	-1.88475712325168
0.00999999999999091	-5	-9.85926396446616
0.0100000511999951	-5	-9.85875919956723
0.0100001535999894	-5	-9.85774972750484
0.0100003583999921	-5	-9.8557310776201
0.0100007679999976	-5	-9.85169500514785
0.0100015871999943	-5	-9.84362780723023
0.0100032255999878	-5	-9.82751321030988
0.0100065023999889	-5	-9.79536306535806
0.0100130559999911	-5	-9.73137761559168
0.0100261631999956	-5	-9.60465517400058
0.0100523775999903	-5	-9.35611820567322
0.010104806399994	-5	-8.8780105667695
0.0102096639999871	-5	-7.99266919031246
0.0104193791999876	-5	-6.47025020026736
0.0105866804406105	-5	-5.46381248976144
0.0107928234448167	-5	-4.43382668064617
0.0110239193356421	-5	-3.50470096779338
0.0113571840074371	-5	-2.4862770403254
0.0117955785403296	-5	-1.56374452187101
0.012295578540332	-5	-0.903335709501258
0.0127955785403344	-5	-0.512399579033506
0.0132955785403368	-5	-0.286565651658192
0.0137955785403392	-5	-0.158465756899816
0.0142955785403416	-5	-0.0868243439852669
0.014795578540344	-5	-0.0472079047603131
0.0152955785403464	-5	-0.0255018187639964
0.0157955785403487	-5	-0.0136998425739181
0.0162955785403511	-5	-0.00732438788291923
0.0167955785403535	-5	-0.00389942723943903
0.0172955785403559	-5	-0.00206833026871012
0.0177955785403583	-5	-0.00109347345885036
0.0182955785403607	-5	-0.000576390891672496
0.0187955785403631	-5	-0.000303022526960017
0.0192955785403655	-5	-0.000158924804043004
0.0197955785403678	-5	-8.31691723028882E-5
0.0199999473999668	-3.975009123941	0.88476161041736
0.0199999475999704	-2.97499127763223	1.88477907977031
0.019999999999996	5	9.8592603426942
0.0200000512000003	5	9.85875557798099
0.0200001535999945	5	9.85774610628965
0.0200003583999973	5	9.85572745714664
0.0200007680000027	5	9.85169138615718
0.0200015871999994	5	9.84362419120314
0.0200032255999929	5	9.82750960020254
0.020006502399994	5	9.79535946706105
0.0200130559999963	5	9.73137404079959
0.0200261632000007	5	9.60465164575965
0.0200523775999955	5	9.35611476873163
0.0201048063999991	5	8.87800730545933
0.0202096639999922	5	7.99266625422978
0.0204193791999927	5	6.47024782344068
0.0205866807343114	5	5.46380884335891
0.0207928232981374	5	4.43382571153494
0.0210239193114887	5	3.50469977345493
0.0213571841331941	5	2.48627579574984
0.0217955787899342	5	1.56374350599501
0.0222955787899366	5	0.903335103322485
0.022795578789939	5	0.512399226823733
0.0232955787899414	5	0.286565450993113
0.0237955787899438	5	0.158465644287179
0.0242955787899461	5	0.0868242815389011
0.0247955787899485	5	0.0472078704671062
0.0252955787899509	5	0.0255018000823815
0.0257955787899533	5	0.0136998324656044
0.0262955787899557	5	0.00732438244500955
0.0267955787899581	5	0.00389942432860879
0.0272955787899605	5	0.00206832871735596
0.0277955787899629	5	0.00109347263520432
0.0282955787899652	5	0.000576390455865994
0.0287955787899676	5	0.000303022297064803
0.02929557878997	5	0.000158924683097528
0.0297955787899724	5	8.31691088314379E-5
0.0299999473999719	3.97503470243865	-0.884739653887272
0.0299999475999755	2.97501685612989	-1.88475712324461
0.0300000000000011	-5	-9.85926396445909
0.0300000512000054	-5	-9.85875919956017
0.0300001535999996	-5	-9.85774972749777
0.0300003584000024	-5	-9.85573107761304
0.0300007680000078	-5	-9.85169500514079
0.0300015872000046	-5	-9.84362780722318
0.030003225599998	-5	-9.82751321030284
0.0300065023999991	-5	-9.79536306535105
0.0300130560000014	-5	-9.73137761558471
0.0300261632000058	-5	-9.6046551739937
0.0300523776000006	-5	-9.35611820566652
0.0301048064000042	-5	-8.87801056676315
0.0302096639999974	-5	-7.99266919030675
0.0304193791999978	-5	-6.47025020026274
0.0305866804406207	-5	-5.46381248975415
0.0307928234448269	-5	-4.43382668064425
