,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C)
,TCouple 1,TCouple 2,TCouple 3,TCouple 4,TCouple 5,TCouple 6,TCouple 7,TCouple 8,TCouple 9,TCouple 10,TCouple 11,TCouple 12,TCouple 13,TCouple 14,TCouple 15,TCouple 16,TCouple 1,TCouple 2,TCouple 3,TCouple 4,TCouple 5,TCouple 6,TCouple 7,TCouple 8,TCouple 9,TCouple 10,TCouple 11,TCouple 12,TCouple 13,TCouple 14,TCouple 15,TCouple 16,TCouple 1,TCouple 2,TCouple 3,TCouple 4,TCouple 5,TCouple 6,TCouple 7,TCouple 8,TCouple 9,TCouple 10,TCouple 11,TCouple 12,TCouple 13,TCouple 14,TCouple 15,TCouple 16
Time (mins),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,53.17,49.46,46.49,44.47,33.98,31.41,32.41,31.66,32.79,30.5,30.75,30.06,29.72,29.45,29.93,29.13,326.32,322.61,319.64,317.62,307.13,304.56,305.56,304.81,305.94,303.65,303.9,303.21,302.87,302.6,303.08,302.28,0.4,0.4,0.4,0.42,0.55,0.61,0.59,0.6,0.6,0.63,0.64,0.64,0.64,0.64,0.64,0.64
14.0,57.02,52.61,49.35,47.12,34.98,31.91,33.14,32.16,33.29,30.5,31.0,30.32,29.72,29.7,29.93,29.13,330.17,325.76,322.5,320.27,308.13,305.06,306.29,305.31,306.44,303.65,304.15,303.47,302.87,302.85,303.08,302.28,0.43,0.4,0.39,0.4,0.54,0.6,0.57,0.59,0.59,0.63,0.64,0.64,0.64,0.64,0.64,0.64
15.0,60.86,56.24,52.22,49.77,35.98,32.41,33.86,32.91,33.79,30.75,31.24,30.57,29.72,29.45,29.93,28.88,334.01,329.39,325.37,322.92,309.13,305.56,307.01,306.06,306.94,303.9,304.39,303.72,302.87,302.6,303.08,302.03,0.48,0.42,0.39,0.39,0.52,0.59,0.56,0.58,0.59,0.63,0.63,0.64,0.64,0.64,0.64,0.64
16.0,65.18,59.88,55.57,52.66,36.98,32.91,34.59,33.4,34.78,31.25,31.49,30.82,29.72,29.45,29.93,29.13,338.33,333.03,328.72,325.81,310.13,306.06,307.74,306.55,307.93,304.4,304.64,303.97,302.87,302.6,303.08,302.28,0.54,0.46,0.42,0.4,0.51,0.58,0.55,0.57,0.57,0.62,0.63,0.63,0.64,0.64,0.64,0.64
17.0,69.74,63.76,59.15,55.8,38.48,33.66,35.55,34.15,35.53,31.51,31.98,31.07,29.72,29.7,30.17,29.13,342.89,336.91,332.3,328.95,311.63,306.81,308.7,307.3,308.68,304.66,305.13,304.22,302.87,302.85,303.32,302.28,0.63,0.51,0.45,0.42,0.49,0.57,0.53,0.56,0.56,0.62,0.62,0.63,0.64,0.64,0.64,0.64
18.0,74.54,67.88,62.73,59.17,39.98,34.41,36.52,35.14,36.52,32.01,32.23,31.32,29.72,29.7,30.17,29.13,347.69,341.03,335.88,332.32,313.13,307.56,309.67,308.29,309.67,305.16,305.38,304.47,302.87,302.85,303.32,302.28,0.73,0.58,0.51,0.45,0.47,0.55,0.52,0.54,0.54,0.61,0.61,0.62,0.64,0.64,0.64,0.64
19.0,78.63,71.51,66.08,62.3,41.47,35.16,37.49,36.14,37.26,32.52,32.72,31.83,29.96,29.7,30.17,29.13,351.78,344.66,339.23,335.45,314.62,308.31,310.64,309.29,310.41,305.67,305.87,304.98,303.11,302.85,303.32,302.28,0.82,0.65,0.57,0.5,0.45,0.54,0.5,0.53,0.53,0.6,0.6,0.61,0.63,0.64,0.64,0.64
20.0,81.99,74.9,68.94,65.19,42.97,36.16,38.69,36.88,38.26,33.02,32.97,32.33,29.96,29.7,30.17,29.13,355.14,348.05,342.09,338.34,316.12,309.31,311.84,310.03,311.41,306.17,306.12,305.48,303.11,302.85,303.32,302.28,0.89,0.72,0.62,0.54,0.43,0.53,0.48,0.51,0.51,0.59,0.6,0.6,0.63,0.64,0.64,0.64
21.0,84.63,77.57,71.57,67.36,44.47,37.16,39.66,37.88,39.5,33.52,33.46,32.58,30.21,29.94,30.17,29.37,357.78,350.72,344.72,340.51,317.62,310.31,312.81,311.03,312.65,306.67,306.61,305.73,303.36,303.09,303.32,302.52,0.96,0.78,0.68,0.58,0.42,0.51,0.47,0.5,0.5,0.58,0.59,0.6,0.63,0.63,0.64,0.63
22.0,86.79,79.99,73.72,69.77,45.97,37.91,40.87,39.12,40.24,34.03,33.95,33.09,30.21,29.94,30.41,29.37,359.94,353.14,346.87,342.92,319.12,311.06,314.02,312.27,313.39,307.18,307.1,306.24,303.36,303.09,303.56,302.52,1.01,0.83,0.72,0.63,0.41,0.5,0.45,0.48,0.49,0.57,0.58,0.59,0.63,0.63,0.63,0.63
23.0,88.71,81.69,75.39,71.22,46.97,38.91,41.84,39.86,40.99,34.53,34.45,33.34,30.21,29.94,30.41,29.37,361.86,354.84,348.54,344.37,320.12,312.06,314.99,313.01,314.14,307.68,307.6,306.49,303.36,303.09,303.56,302.52,1.05,0.87,0.76,0.66,0.4,0.49,0.44,0.47,0.48,0.56,0.57,0.59,0.63,0.63,0.63,0.63
24.0,90.15,83.14,76.59,72.66,48.22,39.66,42.8,40.61,41.98,35.04,34.94,33.84,30.45,30.19,30.41,29.62,363.3,356.29,349.74,345.81,321.37,312.81,315.95,313.76,315.13,308.19,308.09,306.99,303.6,303.34,303.56,302.77,1.08,0.9,0.79,0.69,0.4,0.48,0.43,0.46,0.46,0.56,0.56,0.58,0.62,0.63,0.63,0.63
25.0,92.31,85.08,78.74,74.59,49.47,40.41,43.53,41.6,42.72,35.54,35.19,34.09,30.45,30.19,30.41,29.62,365.46,358.23,351.89,347.74,322.62,313.56,316.68,314.75,315.87,308.69,308.34,307.24,303.6,303.34,303.56,302.77,1.14,0.94,0.83,0.73,0.4,0.47,0.42,0.45,0.46,0.55,0.56,0.57,0.62,0.63,0.63,0.63
26.0,93.75,86.53,80.17,75.8,50.46,41.16,44.49,42.35,43.47,36.05,35.68,34.6,30.7,30.43,30.65,29.62,366.9,359.68,353.32,348.95,323.61,314.31,317.64,315.5,316.62,309.2,308.83,307.75,303.85,303.58,303.8,302.77,1.17,0.98,0.87,0.75,0.4,0.46,0.41,0.44,0.45,0.54,0.55,0.57,0.62,0.62,0.63,0.63
27.0,94.95,87.5,81.13,77.0,51.46,41.91,45.22,43.09,44.21,36.55,36.17,34.85,30.94,30.43,30.89,29.87,368.1,360.65,354.28,350.15,324.61,315.06,318.37,316.24,317.36,309.7,309.32,308.0,304.09,303.58,304.04,303.02,1.2,1.0,0.89,0.78,0.4,0.45,0.41,0.43,0.44,0.53,0.54,0.56,0.62,0.62,0.62,0.62
28.0,95.91,88.71,82.32,77.97,51.96,42.41,45.94,43.84,44.96,37.06,36.67,35.35,31.19,30.68,31.13,29.87,369.06,361.86,355.47,351.12,325.11,315.56,319.09,316.99,318.11,310.21,309.82,308.5,304.34,303.83,304.28,303.02,1.22,1.03,0.92,0.8,0.4,0.44,0.4,0.43,0.43,0.52,0.54,0.55,0.61,0.62,0.62,0.62
29.0,96.87,89.68,83.04,78.69,52.96,43.16,46.67,44.34,45.46,37.31,36.91,35.61,31.19,30.92,31.13,29.87,370.02,362.83,356.19,351.84,326.11,316.31,319.82,317.49,318.61,310.46,310.06,308.76,304.34,304.07,304.28,303.02,1.25,1.05,0.93,0.82,0.4,0.44,0.4,0.42,0.43,0.52,0.53,0.55,0.61,0.62,0.62,0.62
30.0,97.59,90.17,83.75,79.41,53.46,43.41,46.91,44.83,45.7,37.56,37.41,35.86,31.43,31.17,31.37,30.11,370.74,363.32,356.9,352.56,326.61,316.56,320.06,317.98,318.85,310.71,310.56,309.01,304.58,304.32,304.52,303.26,1.26,1.06,0.95,0.83,0.4,0.43,0.4,0.42,0.43,0.52,0.52,0.55,0.61,0.61,0.61,0.62
31.0,98.55,91.14,84.71,80.38,53.96,43.91,47.64,45.33,46.45,38.07,37.65,36.11,31.68,31.17,31.37,30.11,371.7,364.29,357.86,353.53,327.11,317.06,320.79,318.48,319.6,311.22,310.8,309.26,304.83,304.32,304.52,303.26,1.29,1.08,0.97,0.86,0.4,0.43,0.39,0.42,0.42,0.51,0.52,0.54,0.6,0.61,0.61,0.62
32.0,99.03,91.62,85.19,80.86,54.71,44.41,48.12,45.83,46.7,38.32,37.9,36.61,31.68,31.17,31.37,30.36,372.18,364.77,358.34,354.01,327.86,317.56,321.27,318.98,319.85,311.47,311.05,309.76,304.83,304.32,304.52,303.51,1.3,1.09,0.98,0.87,0.41,0.42,0.39,0.41,0.42,0.51,0.52,0.53,0.6,0.61,0.61,0.61
33.0,99.51,92.35,85.66,81.34,55.21,44.91,48.36,46.32,47.19,38.82,38.39,36.86,31.92,31.41,31.61,30.61,372.66,365.5,358.81,354.49,328.36,318.06,321.51,319.47,320.34,311.97,311.54,310.01,305.07,304.56,304.76,303.76,1.31,1.11,0.99,0.88,0.41,0.42,0.39,0.41,0.42,0.5,0.51,0.53,0.6,0.61,0.61,0.61
34.0,99.99,92.83,85.9,81.82,55.71,45.16,49.09,46.82,47.69,39.07,38.39,37.12,32.17,31.41,31.85,30.61,373.14,365.98,359.05,354.97,328.86,318.31,322.24,319.97,320.84,312.22,311.54,310.27,305.32,304.56,305.0,303.76,1.32,1.12,1.0,0.89,0.42,0.42,0.39,0.41,0.41,0.5,0.51,0.53,0.59,0.61,0.6,0.61
35.0,100.47,93.32,86.38,82.3,55.71,45.66,49.33,47.07,47.69,39.33,38.64,37.12,32.17,31.66,31.85,30.61,373.62,366.47,359.53,355.45,328.86,318.81,322.48,320.22,320.84,312.48,311.79,310.27,305.32,304.81,305.0,303.76,1.33,1.13,1.01,0.9,0.42,0.42,0.39,0.4,0.41,0.49,0.5,0.53,0.59,0.6,0.6,0.61
36.0,100.95,93.56,86.86,82.54,56.21,45.91,49.57,47.32,48.19,39.58,38.89,37.37,32.41,31.9,31.85,30.85,374.1,366.71,360.01,355.69,329.36,319.06,322.72,320.47,321.34,312.73,312.04,310.52,305.56,305.05,305.0,304.0,1.34,1.14,1.02,0.9,0.42,0.41,0.39,0.4,0.41,0.49,0.5,0.52,0.59,0.6,0.6,0.6
37.0,101.43,94.04,87.34,83.03,56.71,46.16,49.81,47.57,48.43,39.58,39.13,37.62,32.41,31.9,32.09,30.85,374.58,367.19,360.49,356.18,329.86,319.31,322.96,320.72,321.58,312.73,312.28,310.77,305.56,305.05,305.24,304.0,1.36,1.15,1.03,0.92,0.42,0.41,0.39,0.4,0.41,0.49,0.5,0.52,0.59,0.6,0.6,0.6
38.0,101.68,94.29,87.58,83.27,56.71,46.41,50.29,48.06,48.68,40.08,39.38,37.87,32.66,32.15,32.09,30.85,374.83,367.44,360.73,356.42,329.86,319.56,323.44,321.21,321.83,313.23,312.53,311.02,305.81,305.3,305.24,304.0,1.36,1.16,1.04,0.92,0.42,0.41,0.39,0.4,0.41,0.48,0.49,0.52,0.58,0.59,0.6,0.6
39.0,102.4,95.01,88.29,83.75,56.96,46.66,50.54,48.06,48.93,40.34,39.63,38.12,32.66,32.15,32.33,31.1,375.55,368.16,361.44,356.9,330.11,319.81,323.69,321.21,322.08,313.49,312.78,311.27,305.81,305.3,305.48,304.25,1.38,1.17,1.06,0.93,0.43,0.41,0.39,0.4,0.41,0.48,0.49,0.51,0.58,0.59,0.6,0.6
40.0,102.64,95.26,88.53,84.23,57.46,46.91,50.54,48.31,48.93,40.34,39.63,38.12,32.9,32.15,32.33,31.34,375.79,368.41,361.68,357.38,330.61,320.06,323.69,321.46,322.08,313.49,312.78,311.27,306.05,305.3,305.48,304.49,1.39,1.18,1.06,0.94,0.43,0.41,0.39,0.4,0.41,0.48,0.49,0.51,0.58,0.59,0.6,0.6
41.0,103.12,95.5,88.77,84.47,57.71,47.16,50.78,48.56,49.18,40.59,39.87,38.38,32.9,32.39,32.33,31.1,376.27,368.65,361.92,357.62,330.86,320.31,323.93,321.71,322.33,313.74,313.02,311.53,306.05,305.54,305.48,304.25,1.4,1.19,1.07,0.95,0.43,0.41,0.39,0.4,0.41,0.48,0.49,0.51,0.58,0.59,0.6,0.6
