,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,K,σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C),σ(°C)
,TCouple 1,TCouple 2,TCouple 3,TCouple 4,TCouple 5,TCouple 6,TCouple 7,TCouple 8,TCouple 9,TCouple 10,TCouple 11,TCouple 12,TCouple 13,TCouple 14,TCouple 15,TCouple 16,TCouple 1,TCouple 2,TCouple 3,TCouple 4,TCouple 5,TCouple 6,TCouple 7,TCouple 8,TCouple 9,TCouple 10,TCouple 11,TCouple 12,TCouple 13,TCouple 14,TCouple 15,TCouple 16,TCouple 1,TCouple 2,TCouple 3,TCouple 4,TCouple 5,TCouple 6,TCouple 7,TCouple 8,TCouple 9,TCouple 10,TCouple 11,TCouple 12,TCouple 13,TCouple 14,TCouple 15,TCouple 16
Time (mins),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,105.28,97.92,90.68,86.64,59.71,48.66,52.47,50.3,50.92,41.85,41.1,39.63,33.64,33.13,33.05,32.08,378.43,371.07,363.83,359.79,332.86,321.81,325.62,323.45,324.07,315.0,314.25,312.78,306.79,306.28,306.2,305.23,1.45,1.24,1.11,1.0,0.45,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.57,0.57,0.58,0.58
58.0,105.52,98.16,91.16,86.88,59.71,48.66,52.47,50.3,50.92,41.85,41.35,39.63,33.88,33.13,33.29,31.84,378.67,371.31,364.31,360.03,332.86,321.81,325.62,323.45,324.07,315.0,314.5,312.78,307.03,306.28,306.44,304.99,1.46,1.25,1.12,1.0,0.45,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.56,0.57,0.58,0.59
59.0,105.52,98.16,91.4,87.12,59.46,48.66,52.47,50.3,50.92,41.85,41.35,39.63,33.88,33.13,33.05,32.08,378.67,371.31,364.55,360.27,332.61,321.81,325.62,323.45,324.07,315.0,314.5,312.78,307.03,306.28,306.2,305.23,1.46,1.25,1.13,1.01,0.45,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.56,0.57,0.58,0.58
60.0,105.52,98.16,91.16,86.88,59.71,48.66,52.47,50.3,50.92,41.85,41.35,39.63,33.88,33.13,33.29,32.08,378.67,371.31,364.31,360.03,332.86,321.81,325.62,323.45,324.07,315.0,314.5,312.78,307.03,306.28,306.44,305.23,1.46,1.25,1.12,1.0,0.45,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.56,0.57,0.58,0.58
61.0,105.52,97.92,90.92,86.64,59.71,48.66,52.47,50.55,50.92,41.85,41.35,39.63,33.88,33.13,33.29,32.08,378.67,371.07,364.07,359.79,332.86,321.81,325.62,323.7,324.07,315.0,314.5,312.78,307.03,306.28,306.44,305.23,1.46,1.24,1.12,1.0,0.45,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.56,0.57,0.58,0.58
62.0,105.52,98.16,91.4,87.12,59.71,48.91,52.71,50.55,51.17,42.1,41.35,39.63,33.88,33.13,33.29,32.08,378.67,371.31,364.55,360.27,332.86,322.06,325.86,323.7,324.32,315.25,314.5,312.78,307.03,306.28,306.44,305.23,1.46,1.25,1.13,1.01,0.45,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.56,0.57,0.58,0.58
63.0,105.52,98.41,91.16,87.12,59.71,48.91,52.71,50.55,51.17,42.1,41.35,39.63,33.88,33.13,33.29,32.08,378.67,371.56,364.31,360.27,332.86,322.06,325.86,323.7,324.32,315.25,314.5,312.78,307.03,306.28,306.44,305.23,1.46,1.25,1.12,1.01,0.45,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.56,0.57,0.58,0.58
64.0,105.76,98.16,91.4,87.12,59.96,48.91,52.71,50.55,51.17,42.1,41.35,39.63,33.88,33.13,33.29,32.08,378.91,371.31,364.55,360.27,333.11,322.06,325.86,323.7,324.32,315.25,314.5,312.78,307.03,306.28,306.44,305.23,1.46,1.25,1.13,1.01,0.46,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.56,0.57,0.58,0.58
65.0,105.76,98.41,91.64,87.12,59.96,48.91,52.71,50.55,51.17,42.1,41.35,39.63,33.88,33.13,33.29,32.08,378.91,371.56,364.79,360.27,333.11,322.06,325.86,323.7,324.32,315.25,314.5,312.78,307.03,306.28,306.44,305.23,1.46,1.25,1.14,1.01,0.46,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.56,0.57,0.58,0.58
66.0,105.76,98.41,91.4,87.12,59.96,48.91,52.95,50.55,51.17,42.1,41.35,39.63,34.13,33.13,33.29,32.08,378.91,371.56,364.55,360.27,333.11,322.06,326.1,323.7,324.32,315.25,314.5,312.78,307.28,306.28,306.44,305.23,1.46,1.25,1.13,1.01,0.46,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.56,0.57,0.58,0.58
67.0,105.76,98.16,91.4,86.88,59.96,48.91,52.95,50.55,51.17,42.1,41.35,39.63,33.88,33.13,33.29,32.08,378.91,371.31,364.55,360.03,333.11,322.06,326.1,323.7,324.32,315.25,314.5,312.78,307.03,306.28,306.44,305.23,1.46,1.25,1.13,1.0,0.46,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.56,0.57,0.58,0.58
68.0,105.76,98.41,91.4,87.12,59.71,48.91,52.71,50.3,50.92,41.85,41.35,39.38,33.88,33.13,33.29,32.08,378.91,371.56,364.55,360.27,332.86,322.06,325.86,323.45,324.07,315.0,314.5,312.53,307.03,306.28,306.44,305.23,1.46,1.25,1.13,1.01,0.45,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.56,0.57,0.58,0.58
69.0,105.76,98.41,91.4,86.88,59.96,48.91,52.71,50.55,50.92,41.85,41.1,39.38,33.88,33.13,33.29,32.08,378.91,371.56,364.55,360.03,333.11,322.06,325.86,323.7,324.07,315.0,314.25,312.53,307.03,306.28,306.44,305.23,1.46,1.25,1.13,1.0,0.46,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.56,0.57,0.58,0.58
70.0,105.76,98.16,91.16,86.88,59.71,48.91,52.71,50.55,50.92,41.85,41.1,39.63,33.88,33.13,33.29,32.08,378.91,371.31,364.31,360.03,332.86,322.06,325.86,323.7,324.07,315.0,314.25,312.78,307.03,306.28,306.44,305.23,1.46,1.25,1.12,1.0,0.45,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.56,0.57,0.58,0.58
71.0,105.76,98.41,91.4,87.12,59.96,48.91,52.71,50.55,51.17,42.1,41.35,39.63,33.88,33.38,33.29,32.08,378.91,371.56,364.55,360.27,333.11,322.06,325.86,323.7,324.32,315.25,314.5,312.78,307.03,306.53,306.44,305.23,1.46,1.25,1.13,1.01,0.46,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.56,0.57,0.58,0.58
72.0,105.76,98.41,91.4,87.12,59.96,48.91,52.71,50.55,51.17,41.85,41.1,39.63,33.88,33.13,33.29,32.08,378.91,371.56,364.55,360.27,333.11,322.06,325.86,323.7,324.32,315.0,314.25,312.78,307.03,306.28,306.44,305.23,1.46,1.25,1.13,1.01,0.46,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.56,0.57,0.58,0.58
73.0,105.52,98.16,91.4,86.88,59.71,48.91,52.71,50.55,51.17,41.85,41.35,39.63,33.88,33.13,33.29,32.08,378.67,371.31,364.55,360.03,332.86,322.06,325.86,323.7,324.32,315.0,314.5,312.78,307.03,306.28,306.44,305.23,1.46,1.25,1.13,1.0,0.45,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.56,0.57,0.58,0.58
74.0,105.76,98.41,91.4,87.12,59.71,48.91,52.71,50.55,51.17,42.1,41.35,39.63,33.88,33.38,33.29,32.08,378.91,371.56,364.55,360.27,332.86,322.06,325.86,323.7,324.32,315.25,314.5,312.78,307.03,306.53,306.44,305.23,1.46,1.25,1.13,1.01,0.45,0.4,0.4,0.4,0.4,0.46,0.47,0.49,0.56,0.57,0.58,0.58
