TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC_10,TC_11,TC_12,TC_13,TC_14,TC_15,TC_16
0.3126808120471871,0.282046668050981,0.2812514844195171,0.2611897959777352,0.4444752501470539,0.6582210360679284,0.6077389972456331,0.678736040111577,0.3841928223579423,0.4658934281301441,0.4142126024302222,0.33269550052991903,0.127820905028301,0.08619788388577021,0.07648473451671123,0.045372596252303055
0.3331128149931182,0.3024740858375523,0.3119348193450655,0.3020501985789821,0.4036166249704394,0.5050005488762785,0.5055747159516102,0.5050718700211299,0.3841928223579423,0.41482488366370873,0.39375704581319226,0.33269550052991903,0.1482502176166065,0.106627282177989,0.08670116264611494,0.045372596252303055
0.3637608194120112,0.33311521251741283,0.34261815427061393,0.33269550052991903,0.3627579997938284,0.40285355741518103,0.42384329091639117,0.4131320152673652,0.3433288164660837,0.34332892141070204,0.3323903759620954,0.2918350979286721,0.13803556132245376,0.106627282177989,0.0969175907755151,0.055588135669388805
0.40462482530387334,0.36375633919727335,0.36307371088764384,0.3531257018305425,0.32189937461721385,0.3415653625385211,0.362544722139976,0.35183877876485425,0.2922488091012596,0.282046668050981,0.2914792627280356,0.25097469532742167,0.127820905028301,0.09641258303188138,0.08670116264611494,0.06580367508647456
0.4454888311957319,0.39439746587713387,0.39375704581319226,0.363340802480856,0.29125540573475206,0.2904918668079688,0.3216790096223683,0.30076108167942905,0.261600804682363,0.24119183247783127,0.24034037118545726,0.21011429272617477,0.11760624873414471,0.08619788388577021,0.08670116264611494,0.055588135669388805
0.496568838560556,0.4352523014502836,0.4142126024302222,0.39398610443179294,0.27082609314644657,0.2496330702235312,0.2910297252341607,0.2598989240110896,0.24116880173643196,0.2003369969046851,0.20965703625990884,0.1794689907752378,0.10739159243999197,0.07598318473965904,0.07648473451671123,0.045372596252303055
0.5578648473983456,0.4863208459167154,0.45512371566428556,0.4144163057324164,0.2503967805581411,0.21898897278520124,0.2501640127165494,0.2292523057598359,0.21052079731753892,0.16969587022482457,0.1789737013343604,0.15903878947461436,0.08696227985168647,0.06576848559355142,0.07648473451671123,0.035157056835217304
0.6293768577091008,0.5373893903831508,0.5062626072068639,0.4654918089839768,0.24018212426398833,0.1985595744929789,0.23994758458714927,0.2088212269256644,0.19008879437160786,0.13905474354496405,0.1585181447173305,0.1283934875236774,0.06653296726337743,0.055553786447440245,0.05605187825790736,0.024941517418135106
0.7213208709657835,0.6088853526361575,0.5574014987494422,0.49613711093491375,0.24018212426398833,0.16791547705464893,0.2195147283283454,0.1883901480914929,0.16965679142568035,0.11862732575839274,0.1380625881003006,0.10796328622305396,0.05631831096922468,0.04533908730132907,0.04583545012850365,0.014725978001049356
0.8132648842224697,0.6803813148891678,0.6289959469090505,0.5574277148367841,0.24018212426398833,0.1577007779085413,0.2092983001989417,0.1781746086744107,0.16965679142568035,0.10841361686510353,0.11760703148326712,0.0875330849224305,0.04610365467507194,0.02490968900911028,0.03561902199909994,0.014725978001049356
0.9256409004250798,0.782518403822035,0.7005903950686623,0.618718318738658,0.2503967805581411,0.1577007779085413,0.2092983001989417,0.16795906925732496,0.16965679142568035,0.09819990797181788,0.10737925317475217,0.077317984272117,0.03588899838091919,0.014694989862999108,0.03561902199909994,0.004510438583963605
1.048232918100659,0.8744417838616165,0.792640399845304,0.7004391239411518,0.27082609314644657,0.1577007779085413,0.2092983001989417,0.16795906925732496,0.16965679142568035,0.08798619907853222,0.09715147486623721,0.077317984272117,0.015459685792613698,0.0044802907168914885,0.025402593869699786,-0.005705100833122145
1.2014729401951385,0.9970062905810586,0.8949181829304607,0.7821599291436492,0.2810407494405993,0.1577007779085413,0.2195147283283454,0.1781746086744107,0.17987279289864588,0.07777249018524302,0.08692369655772225,0.06710288362180705,0.015459685792613698,0.0044802907168914885,0.015186165740296076,-0.005705100833122145
1.3547129622896108,1.12978450619379,1.0074237443241358,0.8945260362970799,0.3116847183230611,0.16791547705464893,0.23994758458714927,0.1883901480914929,0.19008879437160786,0.07777249018524302,0.09715147486623721,0.06710288362180705,0.005245029498457399,-0.005734408429219684,0.004969737610895919,-0.015920640250207896
1.5283849873300142,1.2829901395930925,1.1403848623348338,1.0068921434505143,0.35254334349967564,0.1781301762007601,0.2501640127165494,0.2088212269256644,0.21052079731753892,0.08798619907853222,0.08692369655772225,0.06710288362180705,0.005245029498457399,-0.005734408429219684,0.004969737610895919,-0.015920640250207896
