Time,Flux,Flux_err
2692.9461899752523,Null,Null
2692.9464214622167,Null,Null
2692.946652948714,Null,Null
2692.9468844352123,Null,Null
2692.9471159221757,Null,Null
2692.9473474086735,Null,Null
2692.947578895172,Null,Null
2692.9478103821357,Null,Null
2692.9480418686335,Null,Null
2692.9482733551313,Null,Null
2692.948504842095,Null,Null
2692.9487363285925,Null,Null
2692.9489678150912,Null,Null
2692.9491993020547,Null,Null
2692.9494307885525,Null,Null
2692.9496622750503,Null,Null
2692.949893761548,Null,Null
2692.9501252485106,Null,Null
2692.950356735009,Null,Null
2692.950588221507,Null,Null
2692.95081970847,Null,Null
2692.9510511949684,Null,Null
2692.9512826814666,Null,Null
2692.9515141684296,Null,Null
2692.951745654928,Null,Null
2692.951977141426,Null,Null
2692.9522086283896,Null,Null
2692.9524401148874,Null,Null
2692.952671601386,Null,Null
2692.9529030883486,Null,Null
2692.9531345748474,Null,Null
2692.953366061345,Null,Null
2692.953597547843,Null,Null
2692.953829034806,Null,Null
2692.954060521304,Null,Null
2692.9542920078025,Null,Null
2692.9545234947655,Null,Null
2692.9547549812637,Null,Null
2692.954986467762,Null,Null
2692.9552179547254,Null,Null
2692.955449441223,Null,Null
2692.955680927722,Null,Null
2692.9559124146845,Null,Null
2692.956143901183,Null,Null
2692.956375387681,Null,Null
2692.9566068746444,Null,Null
2692.9568383611427,Null,Null
2692.957069847641,Null,Null
2692.9573013341383,Null,Null
2692.957532821102,Null,Null
2692.9577643076004,Null,Null
2692.9579957940978,Null,Null
2692.9582272810617,Null,Null
2692.95845876756,Null,Null
2692.9586902540577,Null,Null
2692.958921741021,Null,Null
2692.95915322752,Null,Null
2692.959384714017,Null,Null
2692.959616200981,Null,Null
2692.959847687479,Null,Null
2692.9600791739767,Null,Null
2692.960310660475,Null,Null
2692.960542147439,Null,Null
2692.9607736339362,Null,Null
2692.9610051204345,Null,Null
2692.9612366073984,Null,Null
2692.9614680938957,Null,Null
2692.961699580394,Null,Null
2692.961931067358,Null,Null
2692.9621625538557,Null,Null
2692.9623940403535,Null,Null
2692.9626255273174,Null,Null
2692.9628570138143,Null,Null
2692.9630885003116,Null,Null
2692.9633199868103,Null,Null
2692.963551473773,Null,Null
2692.9637829602716,Null,Null
2692.9640144467694,Null,Null
2692.964245933733,Null,Null
2692.964477420231,Null,Null
2692.9647089067294,Null,Null
2692.9649403936924,Null,Null
2692.9651718801906,Null,Null
2692.965403366689,Null,Null
2692.965634853652,Null,Null
2692.96586634015,Null,Null
2692.9660978266484,Null,Null
2692.966329313612,Null,Null
2692.9665608001096,Null,Null
2692.9667922866083,Null,Null
2692.967023773105,Null,Null
2692.9672552600696,Null,Null
2692.9674867465674,Null,Null
2692.967718233065,Null,Null
2692.967949720029,Null,Null
2692.9681812065273,Null,Null
2692.9684126930247,Null,Null
2692.9686441799877,Null,Null
2692.9688756664864,Null,Null
2692.969107152984,Null,Null
2692.969338639482,Null,Null
2692.9695701264454,Null,Null
2692.969801612944,Null,Null
2692.970033099441,Null,Null
2692.9702645864054,Null,Null
2692.970496072903,Null,Null
2692.970727559401,Null,Null
2692.970959046365,Null,Null
2692.971190532863,Null,Null
2692.9714220193605,Null,Null
2692.9716535063244,Null,Null
2692.9718849928227,Null,Null
2692.97211647932,Null,Null
2692.9723479658182,Null,Null
2692.972579452782,Null,Null
2692.97281093928,Null,Null
2692.9730424257777,Null,Null
2692.973273912742,Null,Null
2692.973505399239,Null,Null
2692.9737368857377,Null,Null
2692.973968372701,Null,Null
2692.974199859199,Null,Null
2692.974431345697,Null,Null
2692.974662832661,Null,Null
2692.9748943191585,Null,Null
2692.9751258056567,Null,Null
2692.975357292155,Null,Null
2692.975588779118,Null,Null
2692.9758202656158,Null,Null
2692.976051752113,Null,Null
2692.976283239076,Null,Null
2692.976514725575,Null,Null
2692.9767462120726,Null,Null
2692.976977699036,Null,Null
2692.977209185534,Null,Null
2692.9774406720326,Null,Null
2692.9776721585295,Null,Null
2692.977903645494,Null,Null
2692.9781351319916,Null,Null
2692.9783666184894,Null,Null
2692.9785981054533,Null,Null
2692.9788295919516,Null,Null
2692.979061078449,Null,Null
2692.979292565413,Null,Null
2692.979524051911,Null,Null
2692.9797555384084,Null,Null
2692.9799870253723,Null,Null
2692.9802185118706,Null,Null
2692.9804499983684,Null,Null
2692.980681484866,Null,Null
2692.9809129718305,Null,Null
2692.9811444583274,Null,Null
2692.981375944826,Null,Null
2692.9816074317896,Null,Null
2692.9818389182874,Null,Null
2692.9820704047856,Null,Null
2692.9823018917496,Null,Null
2692.982533378247,Null,Null
2692.982764864745,Null,Null
2692.9829963512434,Null,Null
2692.9832278382064,Null,Null
2692.983459324704,Null,Null
2692.983690811202,Null,Null
2692.9839222981664,Null,Null
2692.9841537846637,Null,Null
2692.984385271162,Null,Null
2692.9846167581254,Null,Null
2692.984848244623,Null,Null
2692.9850797311215,Null,Null
2692.9853112176197,Null,Null
2692.985542704583,Null,Null
2692.985774191081,Null,Null
2692.986005677579,Null,Null
2692.986237164542,Null,Null
2692.9864686510405,Null,Null
2692.9867001375387,Null,Null
2692.986931624502,Null,Null
2692.987163111,Null,Null
2692.9873945974987,Null,Null
2692.9876260839956,Null,Null
2692.98785757096,Null,Null
2692.9880890574577,Null,Null
2692.9883205439555,Null,Null
2692.988552030919,Null,Null
2692.988783517416,Null,Null
2692.9890150039137,Null,Null
2692.9892464908776,Null,Null
2692.989477977376,Null,Null
2692.9897094638736,Null,Null
2692.9899409503714,Null,Null
